data,atendente,supervisor,coordenador,operacao,cidade,estado,nome_indicador,numerador,denominador
2024-06-13,Atendente_1,Supervisor_5,Coordenador_2,Vendas,Curitiba,SP,Atendidas,41,1
2024-06-13,Atendente_1,Supervisor_5,Coordenador_2,Vendas,Curitiba,SP,TMA,522,41
2024-06-13,Atendente_1,Supervisor_5,Coordenador_2,Vendas,Curitiba,SP,CSAT,2,1
2024-04-07,Atendente_16,Supervisor_4,Coordenador_1,Suporte Técnico,Curitiba,PR,Atendidas,24,1
2024-04-07,Atendente_16,Supervisor_4,Coordenador_1,Suporte Técnico,Curitiba,PR,TMA,382,21
2024-04-07,Atendente_16,Supervisor_4,Coordenador_1,Suporte Técnico,Curitiba,PR,CSAT,25,6
2024-07-20,Atendente_1,Supervisor_3,Coordenador_1,Suporte Técnico,São Paulo,RJ,Atendidas,23,1
2024-07-20,Atendente_1,Supervisor_3,Coordenador_1,Suporte Técnico,São Paulo,RJ,TMA,577,42
2024-07-20,Atendente_1,Supervisor_3,Coordenador_1,Suporte Técnico,São Paulo,RJ,CSAT,7,3
2024-04-16,Atendente_20,Supervisor_5,Coordenador_1,SAC,Rio de Janeiro,RS,Atendidas,35,1
2024-04-16,Atendente_20,Supervisor_5,Coordenador_1,SAC,Rio de Janeiro,RS,TMA,489,43
2024-04-16,Atendente_20,Supervisor_5,Coordenador_1,SAC,Rio de Janeiro,RS,CSAT,4,1
2024-04-09,Atendente_17,Supervisor_4,Coordenador_2,Suporte Técnico,Curitiba,SP,Atendidas,21,1
2024-04-09,Atendente_17,Supervisor_4,Coordenador_2,Suporte Técnico,Curitiba,SP,TMA,558,47
2024-04-09,Atendente_17,Supervisor_4,Coordenador_2,Suporte Técnico,Curitiba,SP,CSAT,29,6
2024-07-01,Atendente_2,Supervisor_4,Coordenador_1,Vendas,Belo Horizonte,PR,Atendidas,42,1
2024-07-01,Atendente_2,Supervisor_4,Coordenador_1,Vendas,Belo Horizonte,PR,TMA,421,36
2024-07-01,Atendente_2,Supervisor_4,Coordenador_1,Vendas,Belo Horizonte,PR,CSAT,9,9
2024-01-04,Atendente_10,Supervisor_1,Coordenador_2,Vendas,São Paulo,RS,Atendidas,49,1
2024-01-04,Atendente_10,Supervisor_1,Coordenador_2,Vendas,São Paulo,RS,TMA,71,23
2024-01-04,Atendente_10,Supervisor_1,Coordenador_2,Vendas,São Paulo,RS,CSAT,16,7
2024-04-30,Atendente_15,Supervisor_3,Coordenador_2,SAC,Curitiba,SP,Atendidas,23,1
2024-04-30,Atendente_15,Supervisor_3,Coordenador_2,SAC,Curitiba,SP,TMA,430,28
2024-04-30,Atendente_15,Supervisor_3,Coordenador_2,SAC,Curitiba,SP,CSAT,15,4
2024-05-18,Atendente_6,Supervisor_5,Coordenador_1,Cobrança,Belo Horizonte,SP,Atendidas,10,1
2024-05-18,Atendente_6,Supervisor_5,Coordenador_1,Cobrança,Belo Horizonte,SP,TMA,161,5
2024-05-18,Atendente_6,Supervisor_5,Coordenador_1,Cobrança,Belo Horizonte,SP,CSAT,9,4
2024-01-04,Atendente_12,Supervisor_2,Coordenador_1,Suporte Técnico,São Paulo,RS,Atendidas,31,1
2024-01-04,Atendente_12,Supervisor_2,Coordenador_1,Suporte Técnico,São Paulo,RS,TMA,95,13
2024-01-04,Atendente_12,Supervisor_2,Coordenador_1,Suporte Técnico,São Paulo,RS,CSAT,12,3
2024-05-12,Atendente_7,Supervisor_5,Coordenador_1,Suporte Técnico,Curitiba,MG,Atendidas,28,1
2024-05-12,Atendente_7,Supervisor_5,Coordenador_1,Suporte Técnico,Curitiba,MG,TMA,523,8
2024-05-12,Atendente_7,Supervisor_5,Coordenador_1,Suporte Técnico,Curitiba,MG,CSAT,10,9
2024-02-07,Atendente_16,Supervisor_1,Coordenador_2,SAC,Belo Horizonte,PR,Atendidas,39,1
2024-02-07,Atendente_16,Supervisor_1,Coordenador_2,SAC,Belo Horizonte,PR,TMA,302,7
2024-02-07,Atendente_16,Supervisor_1,Coordenador_2,SAC,Belo Horizonte,PR,CSAT,2,1
2024-01-15,Atendente_16,Supervisor_2,Coordenador_1,Suporte Técnico,Belo Horizonte,RS,Atendidas,5,1
2024-01-15,Atendente_16,Supervisor_2,Coordenador_1,Suporte Técnico,Belo Horizonte,RS,TMA,507,33
2024-01-15,Atendente_16,Supervisor_2,Coordenador_1,Suporte Técnico,Belo Horizonte,RS,CSAT,15,6
2024-02-05,Atendente_18,Supervisor_2,Coordenador_2,Cobrança,São Paulo,SP,Atendidas,28,1
2024-02-05,Atendente_18,Supervisor_2,Coordenador_2,Cobrança,São Paulo,SP,TMA,260,7
2024-02-05,Atendente_18,Supervisor_2,Coordenador_2,Cobrança,São Paulo,SP,CSAT,8,3
2024-06-03,Atendente_15,Supervisor_5,Coordenador_1,Cobrança,Rio de Janeiro,SP,Atendidas,20,1
2024-06-03,Atendente_15,Supervisor_5,Coordenador_1,Cobrança,Rio de Janeiro,SP,TMA,175,15
2024-06-03,Atendente_15,Supervisor_5,Coordenador_1,Cobrança,Rio de Janeiro,SP,CSAT,8,2
2024-02-27,Atendente_15,Supervisor_5,Coordenador_2,Vendas,Porto Alegre,MG,Atendidas,29,1
2024-02-27,Atendente_15,Supervisor_5,Coordenador_2,Vendas,Porto Alegre,MG,TMA,204,34
2024-02-27,Atendente_15,Supervisor_5,Coordenador_2,Vendas,Porto Alegre,MG,CSAT,4,2
2024-07-08,Atendente_10,Supervisor_1,Coordenador_2,Cobrança,Curitiba,MG,Atendidas,17,1
2024-07-08,Atendente_10,Supervisor_1,Coordenador_2,Cobrança,Curitiba,MG,TMA,458,21
2024-07-08,Atendente_10,Supervisor_1,Coordenador_2,Cobrança,Curitiba,MG,CSAT,19,7
2024-01-22,Atendente_20,Supervisor_2,Coordenador_1,Suporte Técnico,Porto Alegre,MG,Atendidas,48,1
2024-01-22,Atendente_20,Supervisor_2,Coordenador_1,Suporte Técnico,Porto Alegre,MG,TMA,382,44
2024-01-22,Atendente_20,Supervisor_2,Coordenador_1,Suporte Técnico,Porto Alegre,MG,CSAT,9,5
2024-04-14,Atendente_14,Supervisor_3,Coordenador_1,Cobrança,Curitiba,RS,Atendidas,38,1
2024-04-14,Atendente_14,Supervisor_3,Coordenador_1,Cobrança,Curitiba,RS,TMA,580,46
2024-04-14,Atendente_14,Supervisor_3,Coordenador_1,Cobrança,Curitiba,RS,CSAT,9,2
2024-06-11,Atendente_5,Supervisor_3,Coordenador_2,Vendas,Rio de Janeiro,PR,Atendidas,48,1
2024-06-11,Atendente_5,Supervisor_3,Coordenador_2,Vendas,Rio de Janeiro,PR,TMA,292,5
2024-06-11,Atendente_5,Supervisor_3,Coordenador_2,Vendas,Rio de Janeiro,PR,CSAT,34,8
2024-03-23,Atendente_9,Supervisor_1,Coordenador_2,SAC,Porto Alegre,MG,Atendidas,23,1
2024-03-23,Atendente_9,Supervisor_1,Coordenador_2,SAC,Porto Alegre,MG,TMA,125,47
2024-03-23,Atendente_9,Supervisor_1,Coordenador_2,SAC,Porto Alegre,MG,CSAT,10,6
2024-01-28,Atendente_20,Supervisor_1,Coordenador_2,Cobrança,São Paulo,MG,Atendidas,13,1
2024-01-28,Atendente_20,Supervisor_1,Coordenador_2,Cobrança,São Paulo,MG,TMA,416,44
2024-01-28,Atendente_20,Supervisor_1,Coordenador_2,Cobrança,São Paulo,MG,CSAT,7,2
2024-07-22,Atendente_10,Supervisor_4,Coordenador_1,Vendas,Rio de Janeiro,MG,Atendidas,45,1
2024-07-22,Atendente_10,Supervisor_4,Coordenador_1,Vendas,Rio de Janeiro,MG,TMA,592,19
2024-07-22,Atendente_10,Supervisor_4,Coordenador_1,Vendas,Rio de Janeiro,MG,CSAT,4,3
2024-04-02,Atendente_9,Supervisor_4,Coordenador_2,SAC,São Paulo,RS,Atendidas,16,1
2024-04-02,Atendente_9,Supervisor_4,Coordenador_2,SAC,São Paulo,RS,TMA,252,35
2024-04-02,Atendente_9,Supervisor_4,Coordenador_2,SAC,São Paulo,RS,CSAT,2,1
2024-02-03,Atendente_8,Supervisor_5,Coordenador_2,Vendas,Rio de Janeiro,RS,Atendidas,26,1
2024-02-03,Atendente_8,Supervisor_5,Coordenador_2,Vendas,Rio de Janeiro,RS,TMA,317,48
2024-02-03,Atendente_8,Supervisor_5,Coordenador_2,Vendas,Rio de Janeiro,RS,CSAT,27,6
2024-02-17,Atendente_2,Supervisor_5,Coordenador_1,Vendas,Curitiba,RJ,Atendidas,8,1
2024-02-17,Atendente_2,Supervisor_5,Coordenador_1,Vendas,Curitiba,RJ,TMA,553,31
2024-02-17,Atendente_2,Supervisor_5,Coordenador_1,Vendas,Curitiba,RJ,CSAT,1,1
2024-02-02,Atendente_3,Supervisor_2,Coordenador_1,Cobrança,Rio de Janeiro,SP,Atendidas,35,1
2024-02-02,Atendente_3,Supervisor_2,Coordenador_1,Cobrança,Rio de Janeiro,SP,TMA,247,36
2024-02-02,Atendente_3,Supervisor_2,Coordenador_1,Cobrança,Rio de Janeiro,SP,CSAT,17,5
2024-07-25,Atendente_8,Supervisor_1,Coordenador_2,Vendas,Curitiba,PR,Atendidas,46,1
2024-07-25,Atendente_8,Supervisor_1,Coordenador_2,Vendas,Curitiba,PR,TMA,157,11
2024-07-25,Atendente_8,Supervisor_1,Coordenador_2,Vendas,Curitiba,PR,CSAT,13,3
2024-06-23,Atendente_6,Supervisor_1,Coordenador_2,Cobrança,Belo Horizonte,RJ,Atendidas,20,1
2024-06-23,Atendente_6,Supervisor_1,Coordenador_2,Cobrança,Belo Horizonte,RJ,TMA,501,12
2024-06-23,Atendente_6,Supervisor_1,Coordenador_2,Cobrança,Belo Horizonte,RJ,CSAT,10,4
2024-06-17,Atendente_19,Supervisor_3,Coordenador_2,Suporte Técnico,São Paulo,MG,Atendidas,26,1
2024-06-17,Atendente_19,Supervisor_3,Coordenador_2,Suporte Técnico,São Paulo,MG,TMA,208,21
2024-06-17,Atendente_19,Supervisor_3,Coordenador_2,Suporte Técnico,São Paulo,MG,CSAT,19,5
2024-03-06,Atendente_9,Supervisor_2,Coordenador_1,SAC,São Paulo,RJ,Atendidas,24,1
2024-03-06,Atendente_9,Supervisor_2,Coordenador_1,SAC,São Paulo,RJ,TMA,395,8
2024-03-06,Atendente_9,Supervisor_2,Coordenador_1,SAC,São Paulo,RJ,CSAT,15,8
2024-05-16,Atendente_11,Supervisor_1,Coordenador_1,Cobrança,Curitiba,RJ,Atendidas,16,1
2024-05-16,Atendente_11,Supervisor_1,Coordenador_1,Cobrança,Curitiba,RJ,TMA,97,15
2024-05-16,Atendente_11,Supervisor_1,Coordenador_1,Cobrança,Curitiba,RJ,CSAT,9,6
2024-04-17,Atendente_18,Supervisor_5,Coordenador_2,SAC,Belo Horizonte,MG,Atendidas,47,1
2024-04-17,Atendente_18,Supervisor_5,Coordenador_2,SAC,Belo Horizonte,MG,TMA,200,43
2024-04-17,Atendente_18,Supervisor_5,Coordenador_2,SAC,Belo Horizonte,MG,CSAT,4,4
2024-06-02,Atendente_20,Supervisor_1,Coordenador_2,SAC,Rio de Janeiro,PR,Atendidas,47,1
2024-06-02,Atendente_20,Supervisor_1,Coordenador_2,SAC,Rio de Janeiro,PR,TMA,372,5
2024-06-02,Atendente_20,Supervisor_1,Coordenador_2,SAC,Rio de Janeiro,PR,CSAT,8,7
2024-06-17,Atendente_20,Supervisor_4,Coordenador_2,SAC,São Paulo,RJ,Atendidas,46,1
2024-06-17,Atendente_20,Supervisor_4,Coordenador_2,SAC,São Paulo,RJ,TMA,579,46
2024-06-17,Atendente_20,Supervisor_4,Coordenador_2,SAC,São Paulo,RJ,CSAT,13,5
2024-01-25,Atendente_19,Supervisor_5,Coordenador_1,Cobrança,São Paulo,RS,Atendidas,14,1
2024-01-25,Atendente_19,Supervisor_5,Coordenador_1,Cobrança,São Paulo,RS,TMA,431,19
2024-01-25,Atendente_19,Supervisor_5,Coordenador_1,Cobrança,São Paulo,RS,CSAT,29,8
2024-07-16,Atendente_19,Supervisor_3,Coordenador_2,SAC,São Paulo,SP,Atendidas,34,1
2024-07-16,Atendente_19,Supervisor_3,Coordenador_2,SAC,São Paulo,SP,TMA,284,29
2024-07-16,Atendente_19,Supervisor_3,Coordenador_2,SAC,São Paulo,SP,CSAT,30,8
2024-03-13,Atendente_9,Supervisor_1,Coordenador_1,SAC,Rio de Janeiro,PR,Atendidas,23,1
2024-03-13,Atendente_9,Supervisor_1,Coordenador_1,SAC,Rio de Janeiro,PR,TMA,451,28
2024-03-13,Atendente_9,Supervisor_1,Coordenador_1,SAC,Rio de Janeiro,PR,CSAT,5,2
2024-05-19,Atendente_20,Supervisor_5,Coordenador_1,Cobrança,Belo Horizonte,MG,Atendidas,49,1
2024-05-19,Atendente_20,Supervisor_5,Coordenador_1,Cobrança,Belo Horizonte,MG,TMA,214,48
2024-05-19,Atendente_20,Supervisor_5,Coordenador_1,Cobrança,Belo Horizonte,MG,CSAT,10,7
2024-04-09,Atendente_9,Supervisor_1,Coordenador_2,SAC,Rio de Janeiro,RJ,Atendidas,28,1
2024-04-09,Atendente_9,Supervisor_1,Coordenador_2,SAC,Rio de Janeiro,RJ,TMA,536,24
2024-04-09,Atendente_9,Supervisor_1,Coordenador_2,SAC,Rio de Janeiro,RJ,CSAT,35,9
2024-06-04,Atendente_17,Supervisor_5,Coordenador_1,Vendas,Porto Alegre,PR,Atendidas,22,1
2024-06-04,Atendente_17,Supervisor_5,Coordenador_1,Vendas,Porto Alegre,PR,TMA,305,31
2024-06-04,Atendente_17,Supervisor_5,Coordenador_1,Vendas,Porto Alegre,PR,CSAT,16,9
2024-01-06,Atendente_9,Supervisor_2,Coordenador_1,Vendas,Rio de Janeiro,SP,Atendidas,11,1
2024-01-06,Atendente_9,Supervisor_2,Coordenador_1,Vendas,Rio de Janeiro,SP,TMA,150,47
2024-01-06,Atendente_9,Supervisor_2,Coordenador_1,Vendas,Rio de Janeiro,SP,CSAT,9,2
2024-06-21,Atendente_6,Supervisor_1,Coordenador_2,Cobrança,Porto Alegre,MG,Atendidas,27,1
2024-06-21,Atendente_6,Supervisor_1,Coordenador_2,Cobrança,Porto Alegre,MG,TMA,317,38
2024-06-21,Atendente_6,Supervisor_1,Coordenador_2,Cobrança,Porto Alegre,MG,CSAT,9,2
2024-06-29,Atendente_11,Supervisor_4,Coordenador_2,Suporte Técnico,Belo Horizonte,RS,Atendidas,40,1
2024-06-29,Atendente_11,Supervisor_4,Coordenador_2,Suporte Técnico,Belo Horizonte,RS,TMA,301,23
2024-06-29,Atendente_11,Supervisor_4,Coordenador_2,Suporte Técnico,Belo Horizonte,RS,CSAT,23,6
2024-03-11,Atendente_12,Supervisor_3,Coordenador_2,Suporte Técnico,São Paulo,SP,Atendidas,27,1
2024-03-11,Atendente_12,Supervisor_3,Coordenador_2,Suporte Técnico,São Paulo,SP,TMA,212,36
2024-03-11,Atendente_12,Supervisor_3,Coordenador_2,Suporte Técnico,São Paulo,SP,CSAT,17,5
2024-07-17,Atendente_6,Supervisor_5,Coordenador_1,Suporte Técnico,Porto Alegre,PR,Atendidas,12,1
2024-07-17,Atendente_6,Supervisor_5,Coordenador_1,Suporte Técnico,Porto Alegre,PR,TMA,372,30
2024-07-17,Atendente_6,Supervisor_5,Coordenador_1,Suporte Técnico,Porto Alegre,PR,CSAT,2,1
2024-06-24,Atendente_13,Supervisor_3,Coordenador_2,Vendas,Belo Horizonte,PR,Atendidas,21,1
2024-06-24,Atendente_13,Supervisor_3,Coordenador_2,Vendas,Belo Horizonte,PR,TMA,76,37
2024-06-24,Atendente_13,Supervisor_3,Coordenador_2,Vendas,Belo Horizonte,PR,CSAT,30,8
2024-05-11,Atendente_15,Supervisor_5,Coordenador_2,Cobrança,Belo Horizonte,MG,Atendidas,44,1
2024-05-11,Atendente_15,Supervisor_5,Coordenador_2,Cobrança,Belo Horizonte,MG,TMA,152,7
2024-05-11,Atendente_15,Supervisor_5,Coordenador_2,Cobrança,Belo Horizonte,MG,CSAT,15,7
2024-04-22,Atendente_7,Supervisor_2,Coordenador_2,Cobrança,Belo Horizonte,RS,Atendidas,9,1
2024-04-22,Atendente_7,Supervisor_2,Coordenador_2,Cobrança,Belo Horizonte,RS,TMA,210,35
2024-04-22,Atendente_7,Supervisor_2,Coordenador_2,Cobrança,Belo Horizonte,RS,CSAT,8,4
2024-01-30,Atendente_15,Supervisor_5,Coordenador_2,Suporte Técnico,Curitiba,RJ,Atendidas,18,1
2024-01-30,Atendente_15,Supervisor_5,Coordenador_2,Suporte Técnico,Curitiba,RJ,TMA,76,33
2024-01-30,Atendente_15,Supervisor_5,Coordenador_2,Suporte Técnico,Curitiba,RJ,CSAT,30,7
2024-02-24,Atendente_1,Supervisor_2,Coordenador_1,SAC,Porto Alegre,PR,Atendidas,35,1
2024-02-24,Atendente_1,Supervisor_2,Coordenador_1,SAC,Porto Alegre,PR,TMA,214,42
2024-02-24,Atendente_1,Supervisor_2,Coordenador_1,SAC,Porto Alegre,PR,CSAT,11,6
2024-05-13,Atendente_14,Supervisor_1,Coordenador_1,Suporte Técnico,São Paulo,PR,Atendidas,7,1
2024-05-13,Atendente_14,Supervisor_1,Coordenador_1,Suporte Técnico,São Paulo,PR,TMA,572,28
2024-05-13,Atendente_14,Supervisor_1,Coordenador_1,Suporte Técnico,São Paulo,PR,CSAT,18,5
2024-02-19,Atendente_16,Supervisor_5,Coordenador_2,Vendas,Porto Alegre,RJ,Atendidas,35,1
2024-02-19,Atendente_16,Supervisor_5,Coordenador_2,Vendas,Porto Alegre,RJ,TMA,265,28
2024-02-19,Atendente_16,Supervisor_5,Coordenador_2,Vendas,Porto Alegre,RJ,CSAT,17,5
2024-05-21,Atendente_19,Supervisor_2,Coordenador_1,Suporte Técnico,Rio de Janeiro,SP,Atendidas,31,1
2024-05-21,Atendente_19,Supervisor_2,Coordenador_1,Suporte Técnico,Rio de Janeiro,SP,TMA,357,23
2024-05-21,Atendente_19,Supervisor_2,Coordenador_1,Suporte Técnico,Rio de Janeiro,SP,CSAT,14,5
2024-04-25,Atendente_6,Supervisor_2,Coordenador_1,SAC,Rio de Janeiro,RS,Atendidas,19,1
2024-04-25,Atendente_6,Supervisor_2,Coordenador_1,SAC,Rio de Janeiro,RS,TMA,521,15
2024-04-25,Atendente_6,Supervisor_2,Coordenador_1,SAC,Rio de Janeiro,RS,CSAT,16,5
2024-01-01,Atendente_20,Supervisor_1,Coordenador_1,SAC,Rio de Janeiro,RJ,Atendidas,37,1
2024-01-01,Atendente_20,Supervisor_1,Coordenador_1,SAC,Rio de Janeiro,RJ,TMA,152,15
2024-01-01,Atendente_20,Supervisor_1,Coordenador_1,SAC,Rio de Janeiro,RJ,CSAT,19,6
2024-05-23,Atendente_20,Supervisor_4,Coordenador_2,Vendas,Porto Alegre,RS,Atendidas,18,1
2024-05-23,Atendente_20,Supervisor_4,Coordenador_2,Vendas,Porto Alegre,RS,TMA,224,9
2024-05-23,Atendente_20,Supervisor_4,Coordenador_2,Vendas,Porto Alegre,RS,CSAT,8,2
2024-06-16,Atendente_7,Supervisor_5,Coordenador_1,Vendas,Curitiba,PR,Atendidas,17,1
2024-06-16,Atendente_7,Supervisor_5,Coordenador_1,Vendas,Curitiba,PR,TMA,111,17
2024-06-16,Atendente_7,Supervisor_5,Coordenador_1,Vendas,Curitiba,PR,CSAT,14,6
2024-01-29,Atendente_18,Supervisor_2,Coordenador_1,Cobrança,Porto Alegre,PR,Atendidas,13,1
2024-01-29,Atendente_18,Supervisor_2,Coordenador_1,Cobrança,Porto Alegre,PR,TMA,322,27
2024-01-29,Atendente_18,Supervisor_2,Coordenador_1,Cobrança,Porto Alegre,PR,CSAT,4,2
2024-05-02,Atendente_18,Supervisor_5,Coordenador_1,SAC,Curitiba,MG,Atendidas,22,1
2024-05-02,Atendente_18,Supervisor_5,Coordenador_1,SAC,Curitiba,MG,TMA,551,49
2024-05-02,Atendente_18,Supervisor_5,Coordenador_1,SAC,Curitiba,MG,CSAT,2,2
2024-06-04,Atendente_1,Supervisor_2,Coordenador_2,Suporte Técnico,Belo Horizonte,RJ,Atendidas,24,1
2024-06-04,Atendente_1,Supervisor_2,Coordenador_2,Suporte Técnico,Belo Horizonte,RJ,TMA,236,23
2024-06-04,Atendente_1,Supervisor_2,Coordenador_2,Suporte Técnico,Belo Horizonte,RJ,CSAT,17,6
2024-04-16,Atendente_3,Supervisor_5,Coordenador_2,Cobrança,São Paulo,RS,Atendidas,6,1
2024-04-16,Atendente_3,Supervisor_5,Coordenador_2,Cobrança,São Paulo,RS,TMA,335,29
2024-04-16,Atendente_3,Supervisor_5,Coordenador_2,Cobrança,São Paulo,RS,CSAT,3,2
2024-03-19,Atendente_17,Supervisor_5,Coordenador_2,Suporte Técnico,São Paulo,PR,Atendidas,11,1
2024-03-19,Atendente_17,Supervisor_5,Coordenador_2,Suporte Técnico,São Paulo,PR,TMA,142,33
2024-03-19,Atendente_17,Supervisor_5,Coordenador_2,Suporte Técnico,São Paulo,PR,CSAT,31,7
2024-01-28,Atendente_2,Supervisor_2,Coordenador_2,SAC,Rio de Janeiro,MG,Atendidas,20,1
2024-01-28,Atendente_2,Supervisor_2,Coordenador_2,SAC,Rio de Janeiro,MG,TMA,518,35
2024-01-28,Atendente_2,Supervisor_2,Coordenador_2,SAC,Rio de Janeiro,MG,CSAT,4,1
2024-03-06,Atendente_8,Supervisor_2,Coordenador_2,Cobrança,São Paulo,RS,Atendidas,20,1
2024-03-06,Atendente_8,Supervisor_2,Coordenador_2,Cobrança,São Paulo,RS,TMA,75,11
2024-03-06,Atendente_8,Supervisor_2,Coordenador_2,Cobrança,São Paulo,RS,CSAT,20,8
2024-02-16,Atendente_15,Supervisor_5,Coordenador_2,Cobrança,Curitiba,RJ,Atendidas,46,1
2024-02-16,Atendente_15,Supervisor_5,Coordenador_2,Cobrança,Curitiba,RJ,TMA,178,31
